epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9517,1.09186,2.66216,1.64998,0.00333,1,0.2709,0.16505,0.36364,3.12352,0.8687,6e-05,6e-05,6e-05
2,136.952,0.79604,2.48387,1.43633,0.00333,1,0.63192,0.50637,0.37038,3.15508,0.83595,0.000138614,0.000138614,0.000138614
3,200.283,0.58866,2.33688,1.26645,0.00333,1,0.775,0.58273,0.49601,3.20616,0.86206,0.000215644,0.000215644,0.000215644
4,251.435,0.63098,2.09647,1.31196,0.00333,1,0.60302,0.42357,0.58583,3.25044,1.10616,0.00029109,0.00029109,0.00029109
5,300.509,0.6648,1.94363,1.37507,0.00333,1,0.55278,0.39838,0.59224,3.21513,1.02346,0.000364952,0.000364952,0.000364952
6,350.812,0.63475,1.73896,1.32276,0.00333,1,0.42073,0.1524,2.05343,4.03611,2.31075,0.00043723,0.00043723,0.00043723
7,402.367,0.57712,1.56977,1.24704,0.00333,1,0.87833,0.23486,1.98412,3.64362,2.71432,0.000507924,0.000507924,0.000507924
8,440.162,0.59257,1.41152,1.27407,0.64635,1,0.89786,0.45725,0.78265,2.95472,1.38488,0.000577034,0.000577034,0.000577034
9,479.497,0.61033,1.27873,1.29938,0.81007,1,0.96167,0.6117,0.79891,2.88475,1.36069,0.00064456,0.00064456,0.00064456
10,516.29,0.69106,1.14759,1.33445,0.82992,1,0.96167,0.6104,0.77861,2.83984,1.19839,0.000710502,0.000710502,0.000710502
11,552.294,0.63995,1.14181,1.28386,0.70933,1,0.92833,0.45266,1.00712,2.6284,1.55783,0.00077486,0.00077486,0.00077486
12,589.31,0.70952,1.13623,1.33068,0.54657,1,0.745,0.35045,0.97913,2.67946,1.49191,0.000837634,0.000837634,0.000837634
13,624.862,0.68572,1.25182,1.26873,0.62476,1,0.85786,0.63505,0.67061,2.55155,1.12332,0.000898824,0.000898824,0.000898824
14,659.025,0.6411,1.08734,1.24046,0.81485,1,0.995,0.88306,0.64799,2.25848,1.16236,0.00095843,0.00095843,0.00095843
